Gregory Hamlin 
 Time 10
Pedro Lourencao 
 Time 21
Kpodo Awiti 
 Time 28
Omar Thiery 
 Time 32
Morand Gwen 
 Time 41
Lattar Calogero 
 Time 49
Pera Hanna 
 Time 56
Valimaa Inuzuka 
 Time 69
Hitoshi Kiran 
 Time 79
Suling Boris 
 Time 93
Kojemiachenko Greta 
 Time 105
Hamm Pedro 
 Time 113
Lourencini Kristo 
 Time 119
Awiti Ryan 
 Time 136
MZoudi Thomas 
 Time 140
Moreau Gwen 
 Time 154
Lau Calorio 
 Time 166
Regina Pirjo 
 Time 177
Waltari Inuzuka 
 Time 187
Hitoshi Kiw 
 Time 200
Suling Boris 
 Time 215
Lucas Ubweza 
 Time 222
Awora Ryaz 
 Time 231
Nahid Tiffany 
 Time 242
Morel Hamilton 
 Time 252
Laubmeier Calorio 
 Time 266
Rosa Aki 
 Time 283
Vanhanen Inuzuka 
 Time 295
Boris Kokorin 
 Time 308
Grover Hammond 
 Time 323

 Minimum Delay 15 seconds. 
 Maximum Delay 323 seconds. 
 Average Delay 10 seconds.
 Total Delay 323 seconds. 
 Maximum length of the Queue :19
